,original_glrlm_RunLengthNonUniformity,original_glszm_LargeAreaEmphasis,log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,wavelet-LH_firstorder_Variance,wavelet-HL_glcm_ClusterProminence,wavelet-HL_ngtdm_Complexity,wavelet-HH_glrlm_RunLengthNonUniformity,wavelet-HH_gldm_DependenceNonUniformity,wavelet-LL_firstorder_Maximum,wavelet-LL_glrlm_GrayLevelNonUniformity,wavelet-LL_glrlm_LongRunHighGrayLevelEmphasis,wavelet-LL_glrlm_ShortRunHighGrayLevelEmphasis,wavelet-LL_ngtdm_Complexity,score
64,-0.23168179903742847,-0.2508060948531356,-0.1365469473364374,3.1154213784602685,-0.8847381365708459,-0.29629983561498685,1.633447577314152,0.918208983485068,-0.09289203193007346,-0.14170923127360738,-0.9133002940421965,1.2803428679929052,-0.950476434213577,-1.4934659601506324,-0.5777160366417781,-0.9931911618856964
67,-0.8438580758803659,-0.2609040646731446,-0.1316216112922999,0.021596326842484786,0.4894346774869667,0.4663900687205866,0.7863708509683552,0.36987672914119313,-0.7218543261766981,-1.058605015960734,-1.366581927985762,-0.5185772484628028,-0.579159051916588,-0.6312820935244003,-0.20905959139109542,-0.4435256790284725
69,0.5653253495438302,-0.07119229358933979,-0.14814914685071112,0.8396430578139822,0.7893000310001567,-0.15967111058762112,0.6060834651342011,1.2678286916278878,0.9213792117695757,0.436115230340558,0.587042947141778,1.3670118197960137,-0.6877468901117452,-0.7692270391926225,1.1418622375616687,-0.30352747955081705
72,-0.4001562417122665,-0.4059217090151903,-0.12769274950771736,-0.2157797524862645,0.85847496096137,0.11085900116154104,-0.8115885709864304,-0.9444433658761242,-0.238307952770714,-0.333679276305819,0.8835276629892659,-0.5126105723058325,0.6642091669679809,1.0388556166785095,-0.08458200788758355,-0.15368616799449147
73,1.2173101851359507,-0.45971438294063643,-0.14797834857194334,-0.016304492714129412,-0.3282933264033553,1.5996708935461286,0.20006812437909202,0.3912830972886928,1.2808969701957333,0.7857956664805797,1.0271596007923196,0.1598612042392828,0.17592981392535856,1.294754696213711,1.7197314738070646,0.34137653334934126
74,-0.37031720116718264,-0.16397083520498362,-0.06765151460810155,-0.20924453176596247,0.7102846070246973,-0.20327368946244267,-0.7692878679954407,-0.7513776859111606,-0.3045192409542608,-0.08632610257541486,0.5996725238078837,-0.33324696134001774,0.4344621079481449,0.7777503575226988,-0.2647945816735056,-0.04511721823294892
76,-0.5764342699530189,-0.8290074243104747,-0.17170666199292114,0.9177135590249187,-0.33310819072454695,-0.1049352767721347,0.9276983629661161,0.35178014968896487,-0.5954795415419437,-0.8898968479277555,0.8813701846704212,-0.8922563010714403,-0.2537886952985701,-0.03765297554206968,1.9963770070657325,-0.1540266594389796
77,-0.5671517023769381,1.815735308537496,-0.08457180404047017,1.9556905941826563,0.9177927352203186,-0.23484354918216832,0.2175684587938873,0.26647053693648415,-0.3650779659969485,-0.5569781530243957,-0.19283539496659063,0.5856158919097342,-0.9067468740758906,-1.1783396184676,0.5053938716699491,-1.6755973106434594
78,-0.20690023969131482,-0.5593368645568921,-0.14822063513409736,0.7645377047846981,-0.4596815147704249,-0.6508351570853423,1.443681518292537,0.8500139750359031,-0.15419657952299393,-0.3606990348210884,0.3113388324361387,0.23392977536004628,-0.7176892736961185,-0.8829674223669506,0.8087087317678674,0.013582146351487996
80,-0.639493713088989,-0.5404723358792439,0.028990686228903183,-1.4831390987721569,0.39023357935262526,-0.41442320660935134,-0.6858065731974595,-0.6304247097880458,-0.9023144726275918,-0.7948853293852028,1.0174678036568863,-0.571101641987602,0.46051273910754564,1.6966483669873391,0.17578844606909538,0.362161456986675
87,-0.633653283067297,-0.6974843957272499,-0.16150045083705772,-0.8176800297467575,1.0795890024234795,0.8271409894271478,0.030462396976399433,-0.003308216488003019,-0.7989292103997337,-0.9952752609579069,1.0316718635814088,-1.0266854717114924,0.12127923192091178,1.8120400985195706,1.3048165601684332,-0.03863537922742367
91,-1.7061253324883818,-0.7211495674641832,-0.17133386369585105,-0.5298159681878845,-0.5934279701898003,-0.9493076184502872,1.9234421927000989,0.00106265546105978,-1.76754419930488,-1.7159318509676211,0.3737931697721628,-1.3665751078553172,-0.4026867348038225,-0.21170002087921072,0.20498011450950201,0.005782702209397001
92,0.5408759269367572,-0.6685697897479694,-0.15962886077505964,-0.8008721499558572,-0.15002453719342995,0.5856022353358256,-0.7291685343371157,-0.5866641023414704,0.44424711578705917,0.06463313203360194,0.9705872671909215,-0.3274825761806445,0.22405908205254313,0.7023645156712915,0.9932409480888768,0.5389905953677336
97,-0.9250289024752425,-0.07078635349859609,-0.10347717168421319,0.06491706016349971,-1.2000104004253778,0.5626361432219721,-0.6062848006186161,-0.7630347610810987,-0.7702192491095452,-0.6264954946761996,-0.3864487485748456,-0.7378494570594661,1.9133815277950976,0.6340214970823982,-0.7089853590233827,-0.9021565373819406
98,-0.2795365632888614,0.8408848567817787,-0.07991561773043064,0.31341282968108775,-0.05895990207944472,-0.09658776837901889,0.47673005764838244,0.9388885875169294,0.11011800860133768,0.048902477535547245,0.49105201725255376,0.15848568606837252,-0.1649431969816294,-0.30272989467875827,0.3104472905615446,-0.3508306720247515
99,-0.8240691538966257,-0.5456800870742631,-0.10696426648186202,2.004368602499223,1.79587490397697,-0.24488323434684703,0.23801489200692436,0.051505263045420364,-0.7957275102184271,-0.911724113765182,-1.0995592839417976,0.003131635482352102,-0.8258085734046534,-1.045058005252095,-0.4832932460897805,-0.8827851451526375
100,-0.8858712834102691,0.7179711098169983,-0.04915946062765422,-0.41167591314827956,0.8799693608314638,-0.842740186682567,4.040819813552008,2.2476362833197703,-0.7898646081347651,-0.8854431996293176,0.39637976666666846,-0.13722774336854243,-0.7368387037923136,-0.6028716144593409,0.795931636316827,-0.5208115857634732
107,-0.1931106866187736,-0.5166168683665947,-0.12910673203440148,1.1474407707171275,0.26248755003992874,2.550731233558101,-0.4227412896009342,-0.35934645175340085,-0.5413822508703393,-0.046119772049668085,0.3638673814219999,-0.3850249513880251,1.1078050070280352,1.5784085925362112,0.5902866875147273,-1.281623020779453
110,1.4164132323245349,0.6285362782711895,-0.10207074148035522,0.6532303790104145,1.3757668743131526,0.6026386769553627,-0.20575456760687164,0.3322569912575444,1.6896490206606858,1.2318299615282549,1.0055411921231605,1.241353908278117,-0.431756132855331,0.5096862167897706,1.6897977504579484,-0.25379405288622053
